trade_date,avg_slippage_bps,avg_beta_reduction,total_shortfall_usd
2026-01-05,9.13,75.59,1465.73
2026-01-06,18.11,75.78,4226.16
2026-01-07,15.42,77.21,3995.54
2026-01-08,10.53,70.28,1500.89
2026-01-09,12.41,75.72,1453.19
2026-01-12,14.3,70.65,1552.31
2026-01-13,12.61,81.02,2586.29
2026-01-14,15.1,77.03,5146.64
2026-01-15,10.32,79.44,2615.51
2026-01-16,13.6,83.76,4439.67
2026-01-19,14.58,87.63,2893.23
2026-01-20,10.23,77.71,3079.76
2026-01-21,13.96,78.0,3584.64
2026-01-22,10.55,72.57,1369.57
2026-01-23,14.51,76.21,4147.32
2026-01-26,10.22,82.37,2301.69
2026-01-27,13.86,67.58,3299.08
2026-01-28,11.09,76.69,1872.0
2026-01-29,14.05,77.49,4526.41
2026-01-30,10.71,74.9,2032.6
2026-02-02,16.75,66.22,5256.57
2026-02-03,9.96,75.43,2104.2
2026-02-04,17.64,64.17,1997.79
2026-02-05,10.37,75.47,3217.48
2026-02-06,18.95,77.87,5120.56
2026-02-09,13.0,71.95,3782.45
2026-02-10,13.08,77.12,1831.91
2026-02-11,13.39,70.59,3592.05
2026-02-12,16.22,75.17,1962.95
2026-02-13,14.99,84.25,3248.41
2026-02-16,13.82,65.88,2873.16
2026-02-17,12.39,76.25,2366.19
2026-02-18,12.65,80.21,2007.15
2026-02-19,14.12,67.26,3118.45
2026-02-20,11.6,77.15,1236.71
2026-02-23,14.37,77.29,2846.13
2026-02-24,12.71,70.78,3399.55
2026-02-25,14.14,79.36,3887.96
2026-02-26,11.92,78.26,2261.44
2026-02-27,11.8,81.4,2893.43
2026-03-02,12.09,81.9,1784.16
2026-03-03,12.85,76.68,2565.5
2026-03-04,11.63,77.67,3083.55
2026-03-05,17.92,73.2,3893.16
2026-03-06,13.67,73.92,1940.13
2026-03-09,12.27,76.03,3912.79
2026-03-10,16.13,69.67,1780.82
2026-03-11,10.11,71.87,3054.8
2026-03-12,10.54,84.45,1626.57
2026-03-13,16.89,69.83,3787.57
2026-03-16,14.51,75.62,3389.63
2026-03-17,14.27,83.9,1720.65
2026-03-18,14.6,72.73,3260.63
2026-03-19,14.59,72.87,3153.21
2026-03-20,11.44,70.2,1976.25
2026-03-23,13.15,76.98,3181.53
2026-03-24,12.46,69.14,3185.93
2026-03-25,12.05,75.01,2064.9
2026-03-26,15.13,76.02,2039.17
2026-03-27,11.79,85.02,4245.87
2026-03-30,15.29,83.3,2366.28
2026-03-31,14.29,77.83,3527.6
2026-04-01,13.63,77.18,6532.27
2026-04-02,11.05,85.55,2194.02
2026-04-03,14.12,72.92,3870.87
2026-04-06,13.56,69.7,5152.82
2026-04-07,14.66,76.15,2680.27
2026-04-08,11.25,78.37,1620.92
2026-04-09,15.26,73.09,2090.15
2026-04-10,10.84,72.94,2406.07
2026-04-13,14.25,77.51,4755.92
2026-04-14,12.26,82.83,2351.31
2026-04-15,9.88,87.0,4517.48
2026-04-16,13.82,66.56,4685.7
2026-04-17,13.06,81.33,3891.31
2026-04-20,13.4,72.88,1069.82
2026-04-21,13.49,75.92,2447.2
2026-04-22,14.35,76.89,4597.35
2026-04-23,13.9,77.42,2002.34
2026-04-24,10.46,82.3,1985.47
2026-04-27,14.72,77.44,1661.15
2026-04-28,13.76,68.22,2484.63
2026-04-29,7.86,93.72,1532.65
2026-04-30,12.3,79.1,1420.09
2026-05-01,7.5,80.34,705.97
2026-05-04,12.08,69.38,2559.78
2026-05-05,13.77,71.12,2136.95
2026-05-06,6.18,80.49,615.1
2026-05-07,19.16,62.96,2341.82
2026-05-08,14.53,64.4,1041.66
